datetime,snow
20170304 073700,3.65
20170304 073800,3.68
20170304 073900,3.7
20170304 074000,3.72
20170304 074100,3.75
20170304 074200,3.77
20170304 074300,3.79
20170304 074400,3.82
20170304 074500,3.85
20170304 074600,3.87
20170304 074700,3.9
20170304 074800,3.91
20170304 074900,3.94
20170304 075000,3.96
20170304 075100,3.98
20170304 075200,4.0
20170304 075300,4.02
20170304 075400,4.05
20170304 075500,4.07
20170304 075600,4.1
20170304 075700,4.12
20170304 075800,4.15
20170304 075900,4.17
20170304 080000,4.2
20170304 080100,4.22
20170304 080200,4.24
20170304 080300,4.26
20170304 080400,4.29
20170304 080500,4.31
20170304 080600,4.32
20170304 080700,4.34
20170304 080800,4.37
20170304 080900,4.39
20170304 081000,4.41
20170304 081100,4.43
20170304 081200,4.45
20170304 081300,4.47
20170304 081400,4.49
20170304 081500,4.51
20170304 081600,4.53
20170304 081700,4.56
20170304 081800,4.59
20170304 081900,4.61
20170304 082000,4.63
20170304 082100,4.65
20170304 082200,4.68
20170304 082300,4.71
20170304 082400,4.74
20170304 082500,4.78
20170304 082600,4.81
20170304 082700,4.84
20170304 082800,4.88
20170304 082900,4.92
20170304 083000,4.95
20170304 083100,4.99
20170304 083200,5.02
20170304 083300,5.05
20170304 083400,5.08
20170304 083500,5.11
20170304 083600,5.14
20170304 083700,5.17
20170304 083800,5.19
20170304 083900,5.21
20170304 084000,5.25
20170304 084100,5.27
20170304 084200,5.3
20170304 084300,5.33
20170304 084400,5.36
20170304 084500,5.37
20170304 084600,5.39
20170304 084700,5.41
20170304 084800,5.42
20170304 084900,5.44
20170304 085000,5.47
20170304 085100,5.49
20170304 085200,5.52
20170304 085300,5.55
20170304 085400,5.57
20170304 085500,5.6
20170304 085600,5.63
20170304 085700,5.66
20170304 085800,5.68
20170304 085900,5.71
20170304 090000,5.74
20170304 090100,5.76
20170304 090200,5.78
20170304 090300,5.81
20170304 090400,5.83
20170304 090500,5.85
20170304 090600,5.87
20170304 090700,5.89
20170304 090800,5.92
20170304 090900,5.95
20170304 091000,5.99
20170304 091100,6.01
20170304 091200,6.04
20170304 091300,6.07
20170304 091400,6.09
20170304 091500,6.12
20170304 091600,6.15
20170304 091700,6.17
20170304 091800,6.2
20170304 091900,6.22
20170304 092000,6.24
20170304 092100,6.26
20170304 092200,6.27
20170304 092300,6.29
20170304 092400,6.3
20170304 092500,6.31
20170304 092600,6.33
20170304 092700,6.35
20170304 092800,6.36
20170304 092900,6.37
20170304 093000,6.4
20170304 093100,6.41
20170304 093200,6.43
20170304 093300,6.45
20170304 093400,6.48
20170304 093500,6.5
20170304 093600,6.52
20170304 093700,6.53
20170304 093800,6.54
20170304 093900,6.56
20170304 094000,6.58
20170304 094100,6.59
20170304 094200,6.6
20170304 094300,6.62
20170304 094400,6.63
20170304 094500,6.64
20170304 094600,6.65
20170304 094700,6.66
20170304 094800,6.67
20170304 094900,6.68
20170304 095000,6.69
20170304 095100,6.7
20170304 095200,6.71
20170304 095300,6.73
20170304 095400,6.74
20170304 095500,6.76
20170304 095600,6.77
20170304 095700,6.79
20170304 095800,6.81
20170304 095900,6.83
20170304 100000,6.84
20170304 100100,6.86
20170304 100200,6.88
20170304 100300,6.9
20170304 100400,6.92
20170304 100500,6.96
20170304 100600,6.99
20170304 100700,7.02
20170304 100800,7.05
20170304 100900,7.08
20170304 101000,7.11
20170304 101100,7.12
20170304 101200,7.15
20170304 101300,7.17
20170304 101400,7.19
20170304 101500,7.22
20170304 101600,7.24
20170304 101700,7.26
20170304 101800,7.27
20170304 101900,7.29
20170304 102000,7.31
